index,neighborhood_group,geography_type,total_pop,black_alone_pop,white_alone_pop,asian_alone_pop,other_single_race_alone_pop,two_or_more_race_pop,black_alone_share,white_alone_share,asian_alone_share,other_single_race_alone_share,two_or_more_race_share,group_quarters_pop,group_quarters_share,hispanic_pop,hispanic_share,pop_under_18,pop_age_18_24,pop_age_25_44,pop_age_45_64,pop_age_65_plus,share_under_18,share_age_18_24,share_age_25_44,share_age_45_64,share_age_65_plus,pop_age_3_plus,enrolled_k12_pop,enrolled_undergrad_or_grad_pop,enrolled_undergrad_pop,enrolled_grad_pop,enrolled_k12_share_of_3plus,enrolled_undergrad_or_grad_share_of_3plus,enrolled_undergrad_share_of_3plus,enrolled_grad_share_of_3plus,foreign_born_pop,foreign_born_share,pop_1yr_and_older,different_house_1yr_ago_pop,lived_outside_msa_1yr_ago_pop,lived_abroad_1yr_ago_pop,different_house_1yr_ago_share,lived_outside_msa_1yr_ago_share,lived_abroad_1yr_ago_share,households_total,households_families,households_married_couple_family,households_other_family,households_male_no_spouse,households_female_no_spouse,households_nonfamily,households_living_alone,households_not_living_alone,share_households_families,share_households_married_couple_family,share_households_other_family,share_households_male_no_spouse,share_households_female_no_spouse,share_households_nonfamily,share_households_living_alone,share_households_not_living_alone,housing_units_total,housing_units_occupied,housing_units_vacant,share_housing_occupied,share_housing_vacant,occupied_housing_units_total,owner_occupied_housing_units,renter_occupied_housing_units,share_owner_occupied,share_renter_occupied,pop_16_plus,labor_force_pop,civilian_labor_force_pop,employed_pop,unemployed_pop,armed_forces_pop,not_in_labor_force_pop,share_in_labor_force,share_civilian_labor_force,share_employed,share_unemployed,share_armed_forces,share_not_in_labor_force,poverty_status_determined_pop,pop_below_50pct_poverty_threshold,pop_below_100pct_poverty_threshold,share_below_50pct_poverty_threshold,share_below_100pct_poverty_threshold,pop_25_plus,educ_less_than_hs_pop,educ_hs_grad_includes_ged_pop,educ_some_college_includes_assoc_pop,educ_bachelors_or_higher_pop,share_less_than_hs,share_hs_grad_includes_ged,share_some_college_includes_assoc,share_bachelors_or_higher,workers_16_plus,commute_car_truck_van_pop,commute_public_transit_pop,commute_bicycle_pop,commute_walked_pop,commute_other_modes_pop,commute_worked_from_home_pop,share_commute_car_truck_van,share_commute_public_transit,share_commute_bicycle,share_commute_walked,share_commute_other_modes,share_commute_worked_from_home,income_households_total,hh_income_under_25k,hh_income_25k_to_49k,hh_income_50k_to_74k,hh_income_75k_to_99k,hh_income_100k_to_199k,hh_income_200k_plus,share_hh_income_under_25k,share_hh_income_25k_to_49k,share_hh_income_50k_to_74k,share_hh_income_75k_to_99k,share_hh_income_100k_to_199k,share_hh_income_200k_plus,veterans_total,veterans_gulf_war_2001_later,veterans_gulf_war_1990_2001,veterans_vietnam_era,veterans_korean_war,veterans_world_war_ii,veterans_other_periods,share_veterans_gulf_war_2001_later,share_veterans_gulf_war_1990_2001,share_veterans_vietnam_era,share_veterans_korean_war,share_veterans_world_war_ii,share_veterans_other_periods
1,United States,region,331097593,218123424,41288572,19112979,23429838,29142780,0.658788915,0.124702121,0.057726119,0.070764145,0.088018701,8103291,0.024474026,61755866,0.18651862,73213705,31282896,88198512,83664832,54737648,0.221124244,0.094482402,0.26638222,0.252689339,0.165321794,320051509,58439755,21985950,17479826,4506124,0.182594843,0.068695036,0.054615665,0.014079371,45281071,0.136760496,282695564,35876584,12954900,1691028,0.126908903,0.045826329,0.005981799,125736353,81432908,59760581,21672327,6298607,15373720,44303445,35550232,8753213,0.647648083,0.475284829,0.172363254,0.050093762,0.122269492,0.352351917,0.282736306,0.069615611,140943613,125736353,15207260,0.892103944,0.107896056,125736353,81497760,44238593,0.648163861,0.351836139,266411973,169093585,167857207,158913204,8944003,1236378,97318388,0.634707153,0.630066303,0.596494227,0.033572076,0.00464085,0.365292847,323275448,18860708,40521584,0.058342531,0.125346927,226600992,24599698,59741825,64508122,77751347,0.108559534,0.263643263,0.284677139,0.343120065,156703623,125702784,5945723,722251,3807792,2208388,18316685,0.802168971,0.037942473,0.004609026,0.024299323,0.014092769,0.116887438,125736353,19758878,22773348,20228418,16085302,32542320,14348087,0.157145309,0.181119839,0.16087963,0.12792881,0.258813933,0.114112479,17038807,3986068,2565227,5533164,915253,265447,3773648,0.233940557,0.150552031,0.324738933,0.053715791,0.015578966,0.221473722
2,Pittsburgh MSA,region,2451408,2080442,195367,61461,19261,94877,0.848672273,0.079695832,0.025071714,0.007857117,0.038703064,64105,0.026150278,48445,0.019762112,461186,205051,617682,660247,507242,0.188131066,0.083646215,0.251970296,0.269333787,0.206918636,2381007,370212,143477,108831,34646,0.155485473,0.060258958,0.045707971,0.014550986,98898,0.040343346,2343167,256213,70764,8655,0.109344746,0.030200152,0.003693719,1056176,625884,479120,146764,41626,105138,430292,359681,70611,0.592594416,0.453636515,0.138957901,0.039411992,0.099545909,0.407405584,0.340550249,0.066855335,1166355,1056176,110179,0.905535622,0.094464378,1056176,743046,313130,0.703524791,0.296475209,2045162,1281531,1279971,1214152,65819,1560,763631,0.626615887,0.625853111,0.59367033,0.032182781,0.000762776,0.373384113,2390318,124768,257025,0.052197239,0.107527534,1785171,95228,566231,470041,653671,0.053343909,0.317185861,0.263303067,0.366167163,1191121,935977,48042,2586,36061,12078,156377,0.785795062,0.040333434,0.002171064,0.030274842,0.010140028,0.13128557,1056176,178194,203580,173656,134848,268020,97878,0.168716199,0.192751966,0.164419566,0.12767569,0.253764524,0.092672055,140255,21630,16841,51369,11041,3793,35581,0.154219101,0.120074151,0.366254322,0.078720901,0.027043599,0.253687926
3,Allegheny County,region,1245310,969070,158051,50929,12098,55162,0.778175715,0.126916993,0.040896644,0.00971485,0.044295798,35074,0.028164875,29272,0.023505794,231388,111192,343533,316723,242474,0.18580755,0.089288611,0.275861432,0.254332656,0.194709751,1207996,183121,89420,64710,24710,0.151590734,0.074023424,0.053568058,0.020455366,77098,0.061910689,1232528,153968,47716,6862,0.124920489,0.038713928,0.005567419,545637,302324,225854,76470,20343,56127,243313,200673,42640,0.554075328,0.413927208,0.14014812,0.037283029,0.102865092,0.445924672,0.367777478,0.078147193,602734,545637,57097,0.905269986,0.094730014,545637,354956,190681,0.650535063,0.349464937,1040488,674344,673356,640039,33317,988,366144,0.648103582,0.647154028,0.615133476,0.032020552,0.000949554,0.351896418,1212023,69136,134587,0.057041822,0.111043272,902730,43015,233029,230978,395708,0.047649906,0.258138092,0.255866095,0.438345906,627652,451795,43098,2367,24318,6866,99208,0.71981767,0.068665439,0.003771198,0.0387444,0.010939183,0.158062111,545637,91365,101800,87260,67073,139444,58695,0.167446489,0.186570925,0.159923172,0.122926048,0.255561848,0.107571517,63133,9298,7249,22589,5585,1793,16619,0.147276385,0.114821092,0.3578002,0.088464036,0.028400361,0.263237926
4,Pittsburgh MSA outside of Allegheny County,region,1206098,1111372,37316,10532,7163,39715,0.921460777,0.030939443,0.008732292,0.005938987,0.032928502,29031,0.024070183,19173,0.015896718,229798,93859,274149,343524,264768,0.190530123,0.077820376,0.227302425,0.284822626,0.21952445,1173011,187091,54057,44121,9936,0.159496373,0.046083967,0.037613458,0.008470509,21800,0.018074816,1110639,102245,23048,1793,0.092059616,0.020752018,0.001614386,510539,323560,253266,70294,21283,49011,186979,159008,27971,0.633761574,0.496075716,0.137685857,0.041687315,0.095998543,0.366238426,0.311451231,0.054787195,563621,510539,53082,0.905819691,0.094180309,510539,388090,122449,0.760157402,0.239842598,1004674,607187,606615,574113,32502,572,397487,0.604362211,0.603792872,0.57144208,0.032350792,0.000569339,0.395637789,1178295,55632,122438,0.047213983,0.10391116,882441,52213,333202,239063,257963,0.059168828,0.37759125,0.27091103,0.292328892,563469,484182,4944,219,11743,5212,57169,0.859287734,0.008774218,0.000388664,0.020840543,0.009249843,0.101458998,510539,86829,101780,86396,67775,128576,39183,0.170073197,0.199357933,0.169225074,0.132751856,0.25184364,0.076748299,77122,12332,9592,28780,5456,2000,18962,0.159902492,0.124374368,0.37317497,0.070745053,0.025932937,0.24587018
5,City of Pittsburgh,region,303843,195864,70584,17037,4231,16127,0.644622387,0.232304183,0.056071721,0.013924955,0.053076753,23357,0.076871937,11074,0.036446454,44315,51570,100229,61913,45816,0.145848349,0.169725812,0.329871019,0.203766419,0.150788401,295677,33965,48626,35272,13354,0.114871972,0.164456485,0.119292336,0.045164149,27319,0.089911566,300989,59951,25989,3474,0.199180036,0.086345348,0.01154195,137226,57487,37058,20429,4561,15868,79739,61012,18727,0.41892207,0.270050865,0.148871205,0.033237142,0.115634064,0.58107793,0.444609622,0.136468308,157943,137226,20717,0.868832427,0.131167573,137226,64984,72242,0.473554574,0.526445426,264227,170016,169716,160114,9602,300,94211,0.643446733,0.642311346,0.605971381,0.036339965,0.001135387,0.356553267,281540,28714,54691,0.10198906,0.194256589,207958,12706,51041,46992,97219,0.061098876,0.245438983,0.225968705,0.467493436,155863,87386,20814,1853,16143,2329,27338,0.56065904,0.133540353,0.011888646,0.103571726,0.01494261,0.175397625,137226,32351,26811,21970,15980,28629,11485,0.235749785,0.195378427,0.160100856,0.116450235,0.208626645,0.083694052,12268,1828,1372,4541,1004,248,3275,0.149005543,0.11183567,0.370149984,0.081838931,0.020215194,0.266954679
6,Allegheny County outside of the City of Pittsburgh,region,941467,773206,87467,33892,7867,39035,0.821277857,0.092905009,0.035999138,0.008356108,0.041461889,11717,0.012445471,18198,0.019329408,187073,59622,243304,254810,196658,0.198703725,0.063328826,0.258430726,0.270652078,0.208884645,912319,149156,40794,29438,11356,0.16349106,0.044714623,0.032267222,0.012447401,49779,0.052873866,931539,94017,21727,3388,0.100926531,0.023323769,0.003636992,408411,244837,188796,56041,15782,40259,163574,139661,23913,0.599486791,0.462269625,0.137217166,0.038642446,0.09857472,0.400513209,0.341961896,0.058551312,444791,408411,36380,0.918208777,0.081791223,408411,289972,118439,0.710000465,0.289999535,776261,504328,503640,479925,23715,688,271933,0.6496887,0.6488024,0.618252109,0.030550292,0.0008863,0.3503113,930483,40422,79896,0.043441954,0.085865083,694772,30309,181988,183986,298489,0.043624383,0.261939169,0.264814932,0.429621516,471789,364409,22284,514,8175,4537,71870,0.772398254,0.047232979,0.00108947,0.017327661,0.009616587,0.152335048,408411,59014,74989,65290,51093,110815,47210,0.144496598,0.183611607,0.159863471,0.125101919,0.271332065,0.11559434,50865,7470,5877,18048,4581,1545,13344,0.146859334,0.115541138,0.354821587,0.090061929,0.030374521,0.262341492
7,Allegheny Center-Allegheny West,neighborhood group,2133,1457,318,248,17,93,0.683075481,0.149085795,0.116268167,0.007969995,0.043600563,42,0.019690577,51,0.023909986,98,309,1114,352,260,0.045944679,0.144866385,0.522269105,0.165025785,0.121894046,2111,89,126,48,78,0.042160114,0.059687352,0.022738039,0.036949313,340,0.159399906,2133,584,226,11,0.27379278,0.105954055,0.005157056,1484,264,198,66,13,53,1220,1010,210,0.177897574,0.133423181,0.044474394,0.008760108,0.035714286,0.822102426,0.680592992,0.141509434,1629,1484,145,0.910988336,0.089011664,1484,178,1306,0.119946092,0.880053908,2039,1606,1606,1526,80,0,433,0.787641,0.787641,0.748406081,0.039234919,0,0.212359,2123,146,315,0.068770608,0.148374941,1726,55,180,266,1225,0.031865585,0.10428737,0.154113557,0.709733488,1520,586,126,0,385,7,416,0.385526316,0.082894737,0,0.253289474,0.004605263,0.273684211,1484,261,321,232,224,376,70,0.175876011,0.216307278,0.156334232,0.150943396,0.253369272,0.047169811,82,0,22,30,9,0,21,0,0.268292683,0.365853659,0.109756098,0,0.256097561
8,Allentown,neighborhood,1966,1071,779,0,102,14,0.544760936,0.396236012,0,0.051881994,0.007121058,27,0.013733469,91,0.046286877,235,194,762,509,266,0.119532045,0.098677518,0.387589013,0.258901322,0.135300102,1935,145,123,95,28,0.074935401,0.063565891,0.049095607,0.014470284,134,0.068158698,1952,342,41,0,0.175204918,0.021004098,0,970,386,158,228,111,117,584,419,165,0.397938144,0.162886598,0.235051546,0.11443299,0.120618557,0.602061856,0.431958763,0.170103093,1291,970,321,0.751355538,0.248644462,970,479,491,0.493814433,0.506185567,1784,1092,1092,1037,55,0,692,0.612107623,0.612107623,0.581278027,0.030829596,0,0.387892377,1966,109,490,0.055442523,0.24923703,1537,155,468,578,336,0.100845804,0.304489265,0.376057254,0.218607677,1014,536,240,0,74,0,164,0.528599606,0.236686391,0,0.072978304,0,0.1617357,970,299,274,240,14,120,23,0.308247423,0.282474227,0.24742268,0.01443299,0.12371134,0.02371134,56,8,0,48,0,0,0,0.142857143,0,0.857142857,0,0,0
9,Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair,neighborhood group,2902,1565,1119,0,0,218,0.539283253,0.385596141,0,0,0.075120606,0,0,11,0.003790489,707,265,975,633,322,0.243625086,0.091316334,0.33597519,0.218125431,0.11095796,2873,661,104,88,16,0.230073094,0.036199095,0.030630003,0.005569092,8,0.00275672,2902,282,76,0,0.097174363,0.026188835,0,1170,821,326,495,43,452,349,258,91,0.701709402,0.278632479,0.423076923,0.036752137,0.386324786,0.298290598,0.220512821,0.077777778,1336,1170,166,0.875748503,0.124251497,1170,562,608,0.48034188,0.51965812,2333,1605,1605,1374,231,0,728,0.687955422,0.687955422,0.588941277,0.099014145,0,0.312044578,2902,547,662,0.188490696,0.228118539,1930,96,897,661,276,0.049740933,0.464766839,0.342487047,0.143005181,1341,1022,142,0,0,12,165,0.762117823,0.105891126,0,0,0.008948546,0.123042506,1170,375,164,176,215,160,80,0.320512821,0.14017094,0.15042735,0.183760684,0.136752137,0.068376068,137,45,7,40,5,0,40,0.328467153,0.051094891,0.291970803,0.03649635,0,0.291970803
10,Banksville,neighborhood,3677,2567,579,317,5,209,0.69812347,0.157465325,0.086211586,0.001359804,0.056839815,143,0.0388904,26,0.007070982,562,167,1360,983,605,0.152841991,0.04541746,0.369866739,0.267337503,0.164536307,3572,284,127,36,91,0.079507279,0.035554311,0.010078387,0.025475924,421,0.114495513,3656,527,182,22,0.144146608,0.049781182,0.006017505,1797,825,597,228,53,175,972,682,290,0.459098497,0.332220367,0.12687813,0.0294936,0.09738453,0.540901503,0.379521425,0.161380078,2042,1797,245,0.880019589,0.119980411,1797,980,817,0.545353367,0.454646633,3133,2028,2028,1996,32,0,1105,0.647302905,0.647302905,0.637089052,0.010213853,0,0.352697095,3575,268,349,0.074965035,0.097622378,2948,132,760,626,1430,0.044776119,0.2578019,0.212347354,0.485074627,1968,1456,69,0,0,33,410,0.739837398,0.035060976,0,0,0.016768293,0.208333333,1797,246,259,464,285,401,142,0.136894825,0.144129104,0.258208125,0.158597663,0.223149694,0.07902059,243,16,17,45,4,17,144,0.065843621,0.069958848,0.185185185,0.016460905,0.069958848,0.592592593
11,Bedford Dwellings,neighborhood,1380,25,1245,0,53,57,0.018115942,0.902173913,0,0.038405797,0.041304348,0,0,84,0.060869565,460,150,274,260,236,0.333333333,0.108695652,0.198550725,0.188405797,0.171014493,1277,300,25,25,0,0.234925607,0.019577134,0.019577134,0,13,0.00942029,1337,70,22,13,0.052356021,0.016454749,0.009723261,738,359,26,333,61,272,379,379,0,0.486449864,0.035230352,0.451219512,0.082655827,0.368563686,0.513550136,0.513550136,0,779,738,41,0.947368421,0.052631579,738,23,715,0.031165312,0.968834688,935,379,379,307,72,0,556,0.405347594,0.405347594,0.328342246,0.077005348,0,0.594652406,1380,505,715,0.365942029,0.518115942,770,169,357,204,40,0.219480519,0.463636364,0.264935065,0.051948052,303,120,156,0,16,0,11,0.396039604,0.514851485,0,0.052805281,0,0.03630363,738,571,126,31,0,10,0,0.773712737,0.170731707,0.04200542,0,0.013550136,0,77,4,0,8,0,0,65,0.051948052,0,0.103896104,0,0,0.844155844
12,Beechview,neighborhood,7647,5749,1340,55,184,319,0.751798091,0.175232117,0.007192363,0.024061724,0.041715706,105,0.013730875,272,0.035569504,1292,584,2544,1735,1492,0.168955146,0.076369818,0.332679482,0.226886361,0.195109193,7508,1142,674,499,175,0.152104422,0.089770911,0.06646244,0.023308471,294,0.03844645,7619,1208,164,0,0.158550991,0.021525135,0,3296,1665,1077,588,252,336,1631,1200,431,0.505157767,0.326759709,0.178398058,0.076456311,0.101941748,0.494842233,0.36407767,0.130764563,3717,3296,421,0.886736616,0.113263384,3296,2202,1094,0.668082524,0.331917476,6566,4462,4462,4209,253,0,2104,0.679561377,0.679561377,0.641029546,0.038531831,0,0.320438623,7600,329,721,0.043289474,0.094868421,5771,381,1847,1809,1734,0.066019754,0.320048518,0.313463871,0.300467857,4112,3217,376,0,50,19,450,0.782344358,0.091439689,0,0.012159533,0.004620623,0.109435798,3296,476,732,619,594,753,122,0.144417476,0.222087379,0.187803398,0.180218447,0.228458738,0.037014563,303,76,63,98,6,0,60,0.250825083,0.207920792,0.323432343,0.01980198,0,0.198019802
13,Beltzhoover - Bon Air,neighborhood group,2955,1308,1250,0,339,58,0.442639594,0.423011844,0,0.114720812,0.01962775,0,0,364,0.123181049,928,176,770,715,366,0.314043993,0.059560068,0.260575296,0.241962775,0.123857868,2820,675,57,49,8,0.239361702,0.020212766,0.017375887,0.002836879,78,0.026395939,2856,406,21,0,0.142156863,0.007352941,0,1129,694,350,344,42,302,435,335,100,0.614703277,0.310008857,0.30469442,0.037201063,0.267493357,0.385296723,0.296722764,0.088573959,1298,1129,169,0.869799692,0.130200308,1129,730,399,0.646589903,0.353410097,2129,1453,1453,1410,43,0,676,0.682480038,0.682480038,0.662282762,0.020197276,0,0.317519962,2955,412,928,0.139424704,0.314043993,1851,141,816,424,470,0.076175041,0.440842788,0.22906537,0.253916802,1350,847,245,0,70,56,132,0.627407407,0.181481481,0,0.051851852,0.041481481,0.097777778,1129,276,338,130,183,194,8,0.244464128,0.299379982,0.115146147,0.162090345,0.171833481,0.007085917,183,0,0,59,9,0,115,0,0,0.322404372,0.049180328,0,0.628415301
14,Bloomfield,neighborhood,8916,7428,421,558,142,367,0.833109017,0.047218484,0.062584118,0.015926424,0.041161956,65,0.007290265,375,0.042059219,700,1032,4568,1496,1120,0.078510543,0.115746972,0.512337371,0.167788246,0.125616869,8678,415,1266,447,819,0.047822079,0.145886149,0.051509564,0.094376584,941,0.105540601,8830,1717,583,80,0.194450736,0.066024915,0.009060023,4955,1386,1032,354,139,215,3569,2634,935,0.279717457,0.20827447,0.071442987,0.028052472,0.043390515,0.720282543,0.531584258,0.188698285,5474,4955,519,0.905188162,0.094811838,4955,1586,3369,0.320080727,0.679919273,8304,6486,6486,6225,261,0,1818,0.781069364,0.781069364,0.749638728,0.031430636,0,0.218930636,8866,538,996,0.060681254,0.112339274,7184,426,1047,1290,4421,0.059298441,0.145740535,0.179565702,0.615395323,6106,2983,917,129,831,81,1165,0.488535866,0.150180151,0.021126761,0.136095644,0.01326564,0.190795938,4955,917,1073,998,534,1200,233,0.18506559,0.21654894,0.201412714,0.107769929,0.242179617,0.047023209,216,57,15,97,5,3,39,0.263888889,0.069444444,0.449074074,0.023148148,0.013888889,0.180555556
