neighborhood,example_type,status_tags,population_total,below_poverty_count,below_poverty_pct,transit_dependent_count_proxy,transit_dependent_pct_proxy,routes_before_count,routes_before,routes_losing_count,routes_losing,reduced_routes_count,reduced_routes,routes_after_count,routes_after,routes_before_street_count,routes_before_street,routes_losing_street_count,routes_losing_street,reduced_routes_street_count,reduced_routes_street,routes_after_street_count,routes_after_street,ridership_sum_weekday_avg_baseline_2017_2019_routes_before,ridership_sum_weekday_avg_covid_2020_2021_routes_before,ridership_sum_weekday_avg_recent_2023_2024_routes_before,ridership_routes_before_pct_change_covid_vs_baseline,ridership_routes_before_pct_change_recent_vs_baseline,ridership_routes_before_match_count,ridership_routes_before_missing_codes,ridership_sum_weekday_avg_baseline_2017_2019_routes_losing,ridership_sum_weekday_avg_covid_2020_2021_routes_losing,ridership_sum_weekday_avg_recent_2023_2024_routes_losing,ridership_routes_losing_pct_change_covid_vs_baseline,ridership_routes_losing_pct_change_recent_vs_baseline,ridership_routes_losing_match_count,ridership_routes_losing_missing_codes,ridership_note
Allentown,vulnerable,eliminated;reduced,1966,490,0.24923703,240,0.236686391,5,043;044;048;051L;054,2,043;051L,3,044;048;054,3,044;048;054,5,043;044;048;051L;054,2,043;051L,3,044;048;054,3,044;048;054,9446.4,4411.6,5759.9,-53.3,-39.0,5,,1388.2,527.6,649.0,-62.0,-53.2,2,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Point Breeze North,baseline,reduced,1884,126,0.06745182,127,0.10461285,8,028X;067;069;071C;071D;074;088;089,0,,7,028X;067;069;071C;071D;074;088,8,028X;067;069;071C;071D;074;088;089,8,028X;067;069;071C;071D;074;088;089,0,,7,028X;067;069;071C;071D;074;088,8,028X;067;069;071C;071D;074;088;089,20522.8,8821.9,11878.5,-57.0,-42.1,8,,,,,,,,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
East Hills,vulnerable,eliminated;reduced,3505,1706,0.486733238,134,0.155092593,5,071D;077;079;086;P17,1,P17,3,071D;077;086,4,071D;077;079;086,5,071D;077;079;086;P17,1,P17,3,071D;077;086,4,071D;077;079;086,10148.5,4584.6,5807.0,-54.8,-42.8,4,079,387.1,149.3,348.1,-61.4,-10.1,1,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Morningside,baseline,reduced,3301,120,0.036585366,143,0.084167157,2,075;087,0,,2,075;087,2,075;087,2,075;087,0,,2,075;087,2,075;087,6112.6,2791.7,3842.8,-54.3,-37.1,2,,,,,,,,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Lincoln-Lemington-Belmar,vulnerable,eliminated;reduced,4485,1356,0.326196777,383,0.258086253,8,001;074;075;079;082;091;P10;P17,2,P10;P17,5,001;074;075;082;091,6,001;074;075;079;082;091,8,001;074;075;079;082;091;P10;P17,2,P10;P17,5,001;074;075;082;091,6,001;074;075;079;082;091,15527.3,7911.9,10972.9,-49.0,-29.3,7,079,1085.2,362.3,569.4,-66.6,-47.5,2,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Stanton Heights,baseline,reduced,4555,435,0.098305085,212,0.09339207,3,087;089;091,0,,2,087;091,3,087;089;091,3,087;089;091,0,,2,087;091,3,087;089;091,7611.7,3298.3,3613.1,-56.7,-52.5,3,,,,,,,,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Larimer,vulnerable,eliminated;reduced,1574,595,0.410911602,112,0.225806452,23,028X;071C;071D;074;075;077;082;086;088;089;P1;P10;P12;P16;P17;P3;P67;P68;P69;P7;P71;P76;P78,9,P10;P12;P16;P17;P67;P69;P7;P71;P76,13,028X;071C;071D;074;075;077;082;086;088;P1;P3;P68;P78,14,028X;071C;071D;074;075;077;082;086;088;089;P1;P3;P68;P78,12,028X;071C;071D;074;075;077;082;086;088;089;P10;P17,2,P10;P17,9,028X;071C;071D;074;075;077;082;086;088,10,028X;071C;071D;074;075;077;082;086;088;089,51230.5,21845.9,29148.7,-57.4,-43.1,23,,6272.9,1788.5,2223.4,-71.5,-64.6,9,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Lower Lawrenceville,baseline,reduced,2448,356,0.145424837,180,0.099337748,7,054;064;086;087;088;091;093,0,,7,054;064;086;087;088;091;093,7,054;064;086;087;088;091;093,7,054;064;086;087;088;091;093,0,,7,054;064;086;087;088;091;093,7,054;064;086;087;088;091;093,21001.4,9937.4,12553.5,-52.7,-40.2,7,,,,,,,,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Crafton Heights,vulnerable,eliminated;reduced,3951,1047,0.264996203,252,0.134543513,4,026;027;029;031,2,026;029,2,027;031,2,027;031,4,026;027;029;031,2,026;029,2,027;031,2,027;031,4750.2,2456.6,3216.6,-48.3,-32.3,4,,1922.3,1097.9,1410.9,-42.9,-26.6,2,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Bloomfield,baseline,reduced,8916,996,0.112339274,917,0.150180151,11,054;064;071A;071C;077;082;086;087;088;093;P3,0,,11,054;064;071A;071C;077;082;086;087;088;093;P3,11,054;064;071A;071C;077;082;086;087;088;093;P3,11,054;064;071A;071C;077;082;086;087;088;093;P3,0,,11,054;064;071A;071C;077;082;086;087;088;093;P3,11,054;064;071A;071C;077;082;086;087;088;093;P3,37159.1,17504.4,23651.1,-52.9,-36.4,11,,,,,,,,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
West End,vulnerable_few_substitutes,eliminated;reduced,2712,486,0.180534918,95,0.06489071,5,026;027;029;031;038,3,026;029;038,2,027;031,2,027;031,5,026;027;029;031;038,3,026;029;038,2,027;031,2,027;031,7785.8,3128.5,3804.5,-59.8,-51.1,5,,4957.9,1769.8,1998.8,-64.3,-59.7,3,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Summer Hill,vulnerable_few_substitutes,eliminated;reduced,2996,1259,0.424191375,134,0.150055991,7,004;006;007;012;015;O12;O5,4,004;007;O12;O5,2,006;012,3,006;012;015,7,004;006;007;012;015;O12;O5,4,004;007;O12;O5,2,006;012,3,006;012;015,5795.9,2707.2,3418.7,-53.3,-41.0,7,,2370.4,702.4,838.6,-70.4,-64.6,4,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
Manchester,vulnerable_few_substitutes,eliminated;reduced,3011,487,0.16184779,103,0.060517039,4,013;014;017;018,2,014;018,2,013;017,2,013;017,4,013;014;017;018,2,014;018,2,013;017,2,013;017,4862.6,2686.4,3001.1,-44.8,-38.3,4,,1423.6,767.7,651.5,-46.1,-54.2,2,,Sums are weekday averages from FY26_route_status_all.csv across routes listed in routes_before / routes_losing; not stop-level neighborhood ridership.
