_id,Variable Name,Group or subgroup,Universe or description,Period,Source ACS Table,Calculation
1,NeighborhoodGroup,Area Name,na,na,na,na
2,GeographyType,"""Region"", ""Neighborhood"", or ""Neighborhood Group""",na,na,na,na
3,Var_2012_TotalPopulation,Total Population,Population,2012,B01001,B01001_001E
4,Var_2022_TotalPopulation,Total Population,Population,2022,B01001,B01001_001E
5,Var_Change_TotalPopulation,Total Population,Change between periods (number),na,B01001,B01001_001E - B01001_001E
6,Var_ChangePer_TotalPopulation,Total Population,Change between periods (percent),na,B01001,Var_Change_TotalPopulation/B01001_001E
7,Var_2012_Race_1,Black-alone population,Population,2012,B02001,B02001_002E
8,Var_2012_Race_2,White-alone population,Population,2012,B02001,B02001_003E
9,Var_2012_Race_3,Asian-alone population,Population,2012,B02001,B02001_005E
10,Var_2012_Race_4,All other single-race alone population,Population,2012,B02001,B02001_004E + B02001_006E + B02001_007E
11,Var_2012_Race_5,Two or more race population,Population,2012,B02001,B02001_008E
12,Var_2012_Race_Per_1,Black-alone population,Percent of total population,2012,B02001,Var_2012_Race_1/Var_2012_TotalPopulation
13,Var_2012_Race_Per_2,White-alone population,Percent of total population,2012,B02001,Var_2012_Race_2/Var_2012_TotalPopulation
14,Var_2012_Race_Per_3,Asian-alone population,Percent of total population,2012,B02001,Var_2012_Race_3/Var_2012_TotalPopulation
15,Var_2012_Race_Per_4,All other single-race alone population,Percent of total population,2012,B02001,Var_2012_Race_4/Var_2012_TotalPopulation
16,Var_2012_Race_Per_5,Two or more race population,Percent of total population,2012,B02001,Var_2012_Race_5/Var_2012_TotalPopulation
17,Var_2022_Race_1,Black-alone population,Population,2022,B02001,B02001_002E
18,Var_2022_Race_2,White-alone population,Population,2022,B02001,B02001_003E
19,Var_2022_Race_3,Asian-alone population,Population,2022,B02001,B02001_005E
20,Var_2022_Race_4,All other single-race alone population,Population,2022,B02001,B02001_004E + B02001_006E + B02001_007E
21,Var_2022_Race_5,Two or more race population,Population,2022,B02001,B02001_008E
22,Var_2022_Race_Per_1,Black-alone population,Percent of total population,2022,B02001,Var_2022_Race_1/Var_2022_TotalPopulation
23,Var_2022_Race_Per_2,White-alone population,Percent of total population,2022,B02001,Var_2022_Race_2/Var_2022_TotalPopulation
24,Var_2022_Race_Per_3,Asian-alone population,Percent of total population,2022,B02001,Var_2022_Race_3/Var_2022_TotalPopulation
25,Var_2022_Race_Per_4,All other single-race alone population,Percent of total population,2022,B02001,Var_2022_Race_4/Var_2022_TotalPopulation
26,Var_2022_Race_Per_5,Two or more race population,Percent of total population,2022,B02001,Var_2022_Race_5/Var_2022_TotalPopulation
27,Var_Change_Race_1,Black-alone population,Change between periods (number),na,B02001,Var_2022_Race_1  - Var_2012_Race_1
28,Var_Change_Race_2,White-alone population,Change between periods (number),na,B02001,Var_2022_Race_2  - Var_2012_Race_2
29,Var_Change_Race_3,Asian-alone population,Change between periods (number),na,B02001,Var_2022_Race_3  - Var_2012_Race_3
30,Var_Change_Race_4,All other single-race alone population,Change between periods (number),na,B02001,Var_2022_Race_4  - Var_2012_Race_4
31,Var_Change_Race_5,Two or more race population,Change between periods (number),na,B02001,Var_2022_Race_5  - Var_2012_Race_5
32,Var_ChangePer_Race_1,Black-alone population,Change between periods (percent),na,B02001,Var_Change_Race_1/Var_2012_Race_1
33,Var_ChangePer_Race_2,White-alone population,Change between periods (percent),na,B02001,Var_Change_Race_2/Var_2012_Race_2
34,Var_ChangePer_Race_3,Asian-alone population,Change between periods (percent),na,B02001,Var_Change_Race_3/Var_2012_Race_3
35,Var_ChangePer_Race_4,All other single-race alone population,Change between periods (percent),na,B02001,Var_Change_Race_4/Var_2012_Race_4
36,Var_ChangePer_Race_5,Two or more race population,Change between periods (percent),na,B02001,Var_Change_Race_5/Var_2012_Race_5
37,Var_2012_GroupQuarters,Total group quarters population,Population,2012,B26001,B26001_001E
38,Var_2012_GroupQuartersPer,Total group quarters population,Percent of total population,2012,B26001,Var_2012_B26001_001E/Var_2012_TotalPopulation
39,Var_2022_GroupQuarters,Total group quarters population,Population,2022,B26001,B26001_001E
40,Var_2022_GroupQuartersPer,Total group quarters population,Percent of total population,2022,B26001,B26001_001E/Var_2022_TotalPopulation
41,Var_Change_GroupQuarters,Total group quarters population,Change between periods (number),na,B26001,B26001_001E - B26001_001E
42,Var_ChangePer_GroupQuarters,Total group quarters population,Change between periods (percent),na,B26001,Var_Change_GroupQuarters/ Var_2012_GroupQuarters
43,Var_2012_Hispanic,Hispanic or Latino Population,Population,2012,B03003,B03003_003E
44,Var_2012_Hispanic_Per,Hispanic or Latino Population,Percent of total population,2012,B03003,B03003/Var_2012_TotalPopulation
45,Var_2022_Hispanic,Hispanic or Latino Population,Population,2022,B03003,B03003_003E
46,Var_2022_Hispanic_Per,Hispanic or Latino Population,Percent of total population,2022,B03003,B03003_003E/Var_2022_TotalPopulation
47,Var_Change_Hispanic,Hispanic or Latino Population,Change between periods (number),na,B03003,Var_2022_Hispanic -  Var_2012_Hispanic
48,Var_ChangePer_Hispanic,Hispanic or Latino Population,Change between periods (percent),na,B03003,Var_Change_Hispanic/Var_2012_Hispanic
49,Var_2012_Age_1,Under age 18,Population,2012,B01001,B01001_003E + B01001_004E + B01001_005E + B01001_006E + B01001_027E + B01001_028E + B01001_029E + B01001_030E
50,Var_2012_Age_2,Age 18-24,Population,2012,B01001,B01001_007E + B01001_008E + B01001_009E + B01001_010E + B01001_031E + B01001_032E + B01001_033E + B01001_034E
51,Var_2012_Age_3,Age 25-44,Population,2012,B01001,B01001_011E + B01001_012E + B01001_013E + B01001_014E + B01001_035E + B01001_036E + B01001_037E + B01001_038E
52,Var_2012_Age_4,Age 45-64,Population,2012,B01001,B01001_015E + B01001_016E + B01001_017E + B01001_018E + B01001_019E + B01001_039E + B01001_040E + B01001_041E + B01001_042E + B01001_043E
53,Var_2012_Age_5,Age 65 and over,Population,2012,B01001,B01001_044E + B01001_045E + B01001_046E + B01001_047E + B01001_048E + B01001_049E + B01001_020E + B01001_021E + B01001_022E + B01001_023E + B01001_024E + B01001_025E
54,Var_2012_Age_Per_1,Under age 18,Percent of total population,2012,B01001,Var_2012_Age_1/Var_2012_TotalPopulation
55,Var_2012_Age_Per_2,Age 18-24,Percent of total population,2012,B01001,Var_2012_Age_2/Var_2012_TotalPopulation
56,Var_2012_Age_Per_3,Age 25-44,Percent of total population,2012,B01001,Var_2012_Age_3/Var_2012_TotalPopulation
57,Var_2012_Age_Per_4,Age 45-64,Percent of total population,2012,B01001,Var_2012_Age_4/Var_2012_TotalPopulation
58,Var_2012_Age_Per_5,Age 65 and over,Percent of total population,2012,B01001,Var_2012_Age_5/Var_2012_TotalPopulation
59,Var_2022_Age_1,Under age 18,Population,2022,B01001,B01001_003E + B01001_004E + B01001_005E + B01001_006E + B01001_027E + B01001_028E + B01001_029E + B01001_030E
60,Var_2022_Age_2,Age 18-24,Population,2022,B01001,B01001_007E + B01001_008E + B01001_009E + B01001_010E + B01001_031E + B01001_032E + B01001_033E + B01001_034E
61,Var_2022_Age_3,Age 25-44,Population,2022,B01001,B01001_011E + B01001_012E + B01001_013E + B01001_014E + B01001_035E + B01001_036E + B01001_037E + B01001_038E
62,Var_2022_Age_4,Age 45-64,Population,2022,B01001,B01001_015E + B01001_016E + B01001_017E + B01001_018E + B01001_019E + B01001_039E + B01001_040E + B01001_041E + B01001_042E + B01001_043E
63,Var_2022_Age_5,Age 65 and over,Population,2022,B01001,B01001_044E + B01001_045E + B01001_046E + B01001_047E + B01001_048E + B01001_049E + B01001_020E + B01001_021E + B01001_022E + B01001_023E + B01001_024E + B01001_025E
64,Var_2022_Age_Per_1,Under age 18,Percent of total population,2022,B01001,Var_2022_Age_1/Var_2022_TotalPopulation
65,Var_2022_Age_Per_2,Age 18-24,Percent of total population,2022,B01001,Var_2022_Age_2/Var_2022_TotalPopulation
66,Var_2022_Age_Per_3,Age 25-44,Percent of total population,2022,B01001,Var_2022_Age_3/Var_2022_TotalPopulation
67,Var_2022_Age_Per_4,Age 45-64,Percent of total population,2022,B01001,Var_2022_Age_4/Var_2022_TotalPopulation
68,Var_2022_Age_Per_5,Age 65 and over,Percent of total population,2022,B01001,Var_2022_Age_5/Var_2022_TotalPopulation
69,Var_Change_Age_1,Under age 18,Change between periods (number),na,B01001,Var_2022_Age_1 - Var_2012_Age_1
70,Var_Change_Age_2,Age 18-24,Change between periods (number),na,B01001,Var_2022_Age_2 - Var_2012_Age_2
71,Var_Change_Age_3,Age 25-44,Change between periods (number),na,B01001,Var_2022_Age_3 - Var_2012_Age_3
72,Var_Change_Age_4,Age 45-64,Change between periods (number),na,B01001,Var_2022_Age_4 - Var_2012_Age_4
73,Var_Change_Age_5,Age 65 and over,Change between periods (number),na,B01001,Var_2022_Age_5 - Var_2012_Age_5
74,Var_ChangePer_Age_1,Under age 18,Change between periods (percent),na,B01001,Var_Change_Age_1/Var_2012_Age_1
75,Var_ChangePer_Age_2,Age 18-24,Change between periods (percent),na,B01001,Var_Change_Age_2/Var_2012_Age_2
76,Var_ChangePer_Age_3,Age 25-44,Change between periods (percent),na,B01001,Var_Change_Age_3/Var_2012_Age_3
77,Var_ChangePer_Age_4,Age 45-64,Change between periods (percent),na,B01001,Var_Change_Age_4/Var_2012_Age_4
78,Var_ChangePer_Age_5,Age 65 and over,Change between periods (percent),na,B01001,Var_Change_Age_5/Var_2012_Age_5
79,Var_2012_School_1,Total population 3 years and over,Population age 3 years and over,2012,B14001,B14001_001E
80,Var_2012_School_2,Enrolled in grades K-12,Population age 3 years and over,2012,B14001,B14001_003E + B14001_004E + B14001_005E + B14001_006E + B14001_007E
81,Var_2012_School_3,Enrolled as undergraduate or graduate student,Population age 3 years and over,2012,B14001,B14001_008E + B14001_009E
82,Var_2012_School_4,Enrolled as undergraduate,Population age 3 years and over,2012,B14001,B14001_008E
83,Var_2012_School_5,Enrolled as graduate student,Population age 3 years and over,2012,B14001,B14001_009E
84,Var_2012_School_Per_2,Enrolled in grades K-12,Percent of total population age 3 years and over,2012,B14001,Var_2012_School_2/Var_2012_School_1
85,Var_2012_School_Per_3,Enrolled as undergraduate or graduate student,Percent of total population age 3 years and over,2012,B14001,Var_2012_School_3/Var_2012_School_1
86,Var_2012_School_Per_4,Enrolled as undergraduate,Percent of total population age 3 years and over,2012,B14001,Var_2012_School_4/Var_2012_School_1
87,Var_2012_School_Per_5,Enrolled as graduate student,Percent of total population age 3 years and over,2012,B14001,Var_2012_School_5/Var_2012_School_1
88,Var_2022_School_1,Total population 3 years and over,Population age 3 years and over,2022,B14001,B14001_001E
89,Var_2022_School_2,Enrolled in grades K-12,Population age 3 years and over,2022,B14001,B14001_003E + B14001_004E + B14001_005E + Var_2012_B14001_006E + Var_2012_B14001_007E
90,Var_2022_School_3,Enrolled as undergraduate or graduate student,Population age 3 years and over,2022,B14001,B14001_008E + B14001_009E
91,Var_2022_School_4,Enrolled as undergraduate,Population age 3 years and over,2022,B14001,B14001_008E
92,Var_2022_School_5,Enrolled as graduate student,Population age 3 years and over,2022,B14001,B14001_009E
93,Var_2022_School_Per_2,Enrolled in grades K-12,Percent of total population age 3 years and over,2022,B14001,Var_2022_School_2/Var_2022_School_1
94,Var_2022_School_Per_3,Enrolled as undergraduate or graduate student,Percent of total population age 3 years and over,2022,B14001,Var_2022_School_3/Var_2022_School_1
95,Var_2022_School_Per_4,Enrolled as undergraduate,Percent of total population age 3 years and over,2022,B14001,Var_2022_School_4/Var_2022_School_1
96,Var_2022_School_Per_5,Enrolled as graduate student,Percent of total population age 3 years and over,2022,B14001,Var_2022_School_5/Var_2022_School_1
97,Var_Change_School_1,Total population 3 years and over,Change between periods (number),na,B14001,Var_2022_School_1  - Var_2012_School_1
98,Var_Change_School_2,Enrolled in grades K-12,Change between periods (number),na,B14001,Var_2022_School_2  - Var_2012_School_2
99,Var_Change_School_3,Enrolled as undergraduate or graduate student,Change between periods (number),na,B14001,Var_2022_School_3  - Var_2012_School_3
100,Var_Change_School_4,Enrolled as undergraduate,Change between periods (number),na,B14001,Var_2022_School_4  - Var_2012_School_4
101,Var_Change_School_5,Enrolled as graduate student,Change between periods (number),na,B14001,Var_2022_School_5  - Var_2012_School_5
102,Var_ChangePer_School_1,Total population 3 years and over,Change between periods (percent),na,B14001,Var_Change_School_1/Var_2012_School_1
103,Var_ChangePer_School_2,Enrolled in grades K-12,Change between periods (percent),na,B14001,Var_Change_School_2/Var_2012_School_2
104,Var_ChangePer_School_3,Enrolled as undergraduate or graduate student,Change between periods (percent),na,B14001,Var_Change_School_3/Var_2012_School_3
105,Var_ChangePer_School_4,Enrolled as undergraduate,Change between periods (percent),na,B14001,Var_Change_School_4/Var_2012_School_4
106,Var_ChangePer_School_5,Enrolled as graduate student,Change between periods (percent),na,B14001,Var_Change_School_5/Var_2012_School_5
107,Var_2012_foreign_1,Total foreign-born population,Foreign-born population,2012,B05005,B05005_004E + B05005_009E + B05005_014E + B05005_019E
108,Var_2012_foreign_Per_1,Total foreign-born population,Percent of total population,2012,B05005,Var_2012_foreign_1/Var_2012_TotalPopulation
109,Var_2022_foreign_1,Total foreign-born population,Foreign-born population,2022,B05005,B05005_004E + B05005_009E + B05005_014E + B05005_019E
110,Var_2022_foreign_Per_1,Total foreign-born population,Percent of total population,2022,B05005,Var_2022_foreign_1/Var_2022_TotalPopulation
111,Var_Change_foreign_1,Total foreign-born population,Change between periods (number),na,B05005,Var_2022_foreign_1 - Var_2012_foreign_1
112,Var_ChangePer_foreign_1,Total foreign-born population,Change between periods (percent),na,B05005,Var_Change_foreign_1/Var_2012_foreign_1
113,Var_2012_mobility_1,Total population 1 year and older,Population 1 year and older,2012,B07201,B07201_001E
114,Var_2012_mobility_2,Lived in different house one year ago,Population 1 year and older,2012,B07201,B07201_003E
115,Var_2012_mobility_3,Lived outside Pittsburgh MSA one year ago,Population 1 year and older,2012,B07201,B07201_007E + B07201_010E + B07201_013E + B07201_014E
116,Var_2012_mobility_4,Lived outside the United States one year ago,Population 1 year and older,2012,B07201,B07201_014E
117,Var_2012_mobility_Per_2,Lived in different house one year ago,Percent of total population 1 year and older,2012,B07201,Var_2012_mobility_2/Var_2012_mobility_1
118,Var_2012_mobility_Per_3,Lived outside Pittsburgh MSA one year ago,Percent of total population 1 year and older,2012,B07201,Var_2012_mobility_3/Var_2012_mobility_1
119,Var_2012_mobility_Per_4,Lived outside the United States one year ago,Percent of total population 1 year and older,2012,B07201,Var_2012_mobility_4/Var_2012_mobility_1
120,Var_2022_mobility_1,Total population 1 year and older,Population 1 year and older,2022,B07201,B07201_001E
121,Var_2022_mobility_2,Lived in different house one year ago,Population 1 year and older,2022,B07201,B07201_003E
122,Var_2022_mobility_3,Lived outside Pittsburgh MSA one year ago,Population 1 year and older,2022,B07201,B07201_007E + B07201_010E + B07201_013E + B07201_014E
123,Var_2022_mobility_4,Lived outside the United States one year ago,Population 1 year and older,2022,B07201,B07201_014E
124,Var_2022_mobility_Per_2,Lived in different house one year ago,Percent of total population 1 year and older,2022,B07201,Var_2022_mobility_2/Var_2022_mobility_1
125,Var_2022_mobility_Per_3,Lived outside Pittsburgh MSA one year ago,Percent of total population 1 year and older,2022,B07201,Var_2022_mobility_3/Var_2022_mobility_1
126,Var_2022_mobility_Per_4,Lived outside the United States one year ago,Percent of total population 1 year and older,2022,B07201,Var_2022_mobility_4/Var_2022_mobility_1
127,Var_Change_mobility_1,Total population 1 year and older,Change between periods (number),na,B07201,Var_2022_mobility_1 - Var_2012_mobility_1
128,Var_Change_mobility_2,Lived in different house one year ago,Change between periods (number),na,B07201,Var_2022_mobility_2 - Var_2012_mobility_2
129,Var_Change_mobility_3,Lived outside Pittsburgh MSA one year ago,Change between periods (number),na,B07201,Var_2022_mobility_3 - Var_2012_mobility_3
130,Var_Change_mobility_4,Lived outside the United States one year ago,Change between periods (number),na,B07201,Var_2022_mobility_4 - Var_2012_mobility_4
131,Var_ChangePer_mobility_1,Total population 1 year and older,Change between periods (percent),na,B07201,Var_Change_mobility_1/Var_2012_mobility_1
132,Var_ChangePer_mobility_2,Lived in different house one year ago,Change between periods (percent),na,B07201,Var_Change_mobility_2/Var_2012_mobility_2
133,Var_ChangePer_mobility_3,Lived outside Pittsburgh MSA one year ago,Change between periods (percent),na,B07201,Var_Change_mobility_3/Var_2012_mobility_3
134,Var_ChangePer_mobility_4,Lived outside the United States one year ago,Change between periods (percent),na,B07201,Var_Change_mobility_4/Var_2012_mobility_4
135,Var_2012_hhtype_1,Total Households,Households,2012,B11001,B11001_001E
136,Var_2012_hhtype_2,Families,Households,2012,B11001,B11001_002E
137,Var_2012_hhtype_3,Married-couple Families,Households,2012,B11001,B11001_003E
138,Var_2012_hhtype_4,Other Families,Households,2012,B11001,B11001_004E
139,Var_2012_hhtype_5,"Male householder, no spouse present",Households,2012,B11001,B11001_005E
140,Var_2012_hhtype_6,"Female householder, no spouse present",Households,2012,B11001,B11001_006E
141,Var_2012_hhtype_7,Nonfamily households,Households,2012,B11001,B11001_007E
142,Var_2012_hhtype_8,Householder living alone,Households,2012,B11001,B11001_008E
143,Var_2012_hhtype_9,Householder not living alone,Households,2012,B11001,B11001_009E
144,Var_2012_hhtype_Per_2,Families,Percent of Total Households,2012,B11001,Var_2012_B11001_002E/Var_2012_B11001_001E
145,Var_2012_hhtype_Per_3,Married-couple Families,Percent of Total Households,2012,B11001,Var_2012_B11001_003E/Var_2012_B11001_001E
146,Var_2012_hhtype_Per_4,Other Families,Percent of Total Households,2012,B11001,Var_2012_B11001_004E/Var_2012_B11001_001E
147,Var_2012_hhtype_Per_5,"Male householder, no spouse present",Percent of Total Households,2012,B11001,Var_2012_B11001_005E/Var_2012_B11001_001E
148,Var_2012_hhtype_Per_6,"Female householder, no spouse present",Percent of Total Households,2012,B11001,Var_2012_B11001_006E/Var_2012_B11001_001E
149,Var_2012_hhtype_Per_7,Nonfamily households,Percent of Total Households,2012,B11001,Var_2012_B11001_007E/Var_2012_B11001_001E
150,Var_2012_hhtype_Per_8,Householder living alone,Percent of Total Households,2012,B11001,Var_2012_B11001_008E/Var_2012_B11001_001E
151,Var_2012_hhtype_Per_9,Householder not living alone,Percent of Total Households,2012,B11001,Var_2012_B11001_009E/Var_2012_B11001_001E
152,Var_2022_hhtype_1,Total Households,Households,2022,B11001,B11001_001E
153,Var_2022_hhtype_2,Families,Households,2022,B11001,B11001_002E
154,Var_2022_hhtype_3,Married-couple Families,Households,2022,B11001,B11001_003E
155,Var_2022_hhtype_4,Other Families,Households,2022,B11001,B11001_004E
156,Var_2022_hhtype_5,"Male householder, no spouse present",Households,2022,B11001,B11001_005E
157,Var_2022_hhtype_6,"Female householder, no spouse present",Households,2022,B11001,B11001_006E
158,Var_2022_hhtype_7,Nonfamily households,Households,2022,B11001,B11001_007E
159,Var_2022_hhtype_8,Householder living alone,Households,2022,B11001,B11001_008E
160,Var_2022_hhtype_9,Householder not living alone,Households,2022,B11001,B11001_009E
161,Var_2022_hhtype_Per_2,Families,Percent of Total Households,2022,B11001,Var_2022_B11001_002E/Var_2022_B11001_001E
162,Var_2022_hhtype_Per_3,Married-couple Families,Percent of Total Households,2022,B11001,Var_2022_B11001_003E/Var_2022_B11001_001E
163,Var_2022_hhtype_Per_4,Other Families,Percent of Total Households,2022,B11001,Var_2022_B11001_004E/Var_2022_B11001_001E
164,Var_2022_hhtype_Per_5,"Male householder, no spouse present",Percent of Total Households,2022,B11001,Var_2022_B11001_005E/Var_2022_B11001_001E
165,Var_2022_hhtype_Per_6,"Female householder, no spouse present",Percent of Total Households,2022,B11001,Var_2022_B11001_006E/Var_2022_B11001_001E
166,Var_2022_hhtype_Per_7,Nonfamily households,Percent of Total Households,2022,B11001,Var_2022_B11001_007E/Var_2022_B11001_001E
167,Var_2022_hhtype_Per_8,Householder living alone,Percent of Total Households,2022,B11001,Var_2022_B11001_008E/Var_2022_B11001_001E
168,Var_2022_hhtype_Per_9,Householder not living alone,Percent of Total Households,2022,B11001,Var_2022_B11001_009E/Var_2022_B11001_001E
169,Var_Change_hhtype_1,Total Households,Change between periods (number),na,B11001,Var_2022_hhtype_1 - Var_2012_hhtype_1
170,Var_Change_hhtype_2,Families,Change between periods (number),na,B11001,Var_2022_hhtype_2 - Var_2012_hhtype_2
171,Var_Change_hhtype_3,Married-couple Families,Change between periods (number),na,B11001,Var_2022_hhtype_3 - Var_2012_hhtype_3
172,Var_Change_hhtype_4,Other Families,Change between periods (number),na,B11001,Var_2022_hhtype_4 - Var_2012_hhtype_4
173,Var_Change_hhtype_5,"Male householder, no spouse present",Change between periods (number),na,B11001,Var_2022_hhtype_5 - Var_2012_hhtype_5
174,Var_Change_hhtype_6,"Female householder, no spouse present",Change between periods (number),na,B11001,Var_2022_hhtype_6 - Var_2012_hhtype_6
175,Var_Change_hhtype_7,Nonfamily households,Change between periods (number),na,B11001,Var_2022_hhtype_7 - Var_2012_hhtype_7
176,Var_Change_hhtype_8,Householder living alone,Change between periods (number),na,B11001,Var_2022_hhtype_8 - Var_2012_hhtype_8
177,Var_Change_hhtype_9,Householder not living alone,Change between periods (number),na,B11001,Var_2022_hhtype_9 - Var_2012_hhtype_9
178,Var_ChangePer_hhtype_1,Total Households,Change between periods (percent),na,B11001,Var_Change_hhtype_1/Var_2012_hhtype_1
179,Var_ChangePer_hhtype_2,Families,Change between periods (percent),na,B11001,Var_Change_hhtype_2/Var_2012_hhtype_2
180,Var_ChangePer_hhtype_3,Married-couple Families,Change between periods (percent),na,B11001,Var_Change_hhtype_3/Var_2012_hhtype_3
181,Var_ChangePer_hhtype_4,Other Families,Change between periods (percent),na,B11001,Var_Change_hhtype_4/Var_2012_hhtype_4
182,Var_ChangePer_hhtype_5,"Male householder, no spouse present",Change between periods (percent),na,B11001,Var_Change_hhtype_5/Var_2012_hhtype_5
183,Var_ChangePer_hhtype_6,"Female householder, no spouse present",Change between periods (percent),na,B11001,Var_Change_hhtype_6/Var_2012_hhtype_6
184,Var_ChangePer_hhtype_7,Nonfamily households,Change between periods (percent),na,B11001,Var_Change_hhtype_7/Var_2012_hhtype_7
185,Var_ChangePer_hhtype_8,Householder living alone,Change between periods (percent),na,B11001,Var_Change_hhtype_8/Var_2012_hhtype_8
186,Var_ChangePer_hhtype_9,Householder not living alone,Change between periods (percent),na,B11001,Var_Change_hhtype_9/Var_2012_hhtype_9
187,Var_2012_vacancy_1,Total Housing Units,Housing Units,2012,B25002,B25002_001E
188,Var_2012_vacancy_2,Occupied,Housing Units,2012,B25002,B25002_002E
189,Var_2012_vacancy_3,Vacant,Housing Units,2012,B25002,B25002_003E
190,Var_2012_vacancy_Per_2,Occupied,Percent of total housing units,2012,B25002,B25002_002E/B25002_001E
191,Var_2012_vacancy_Per_3,Vacant,Percent of total housing units,2012,B25002,B25002_003E/B25002_001E
192,Var_2022_vacancy_1,Total Housing Units,Housing Units,2022,B25002,B25002_001E
193,Var_2022_vacancy_2,Occupied,Housing Units,2022,B25002,B25002_002E
194,Var_2022_vacancy_3,Vacant,Housing Units,2022,B25002,B25002_003E
195,Var_2022_vacancy_Per_2,Occupied,Percent of total housing units,2022,B25002,B25002_002E/B25002_001E
196,Var_2022_vacancy_Per_3,Vacant,Percent of total housing units,2022,B25002,B25002_003E/B25002_001E
197,Var_vacancy_Change_1,Total Housing Units,Change between periods (number),na,B25002,B25002_001E - B25002_001E
198,Var_vacancy_Change_2,Occupied,Change between periods (number),na,B25002,B25002_002E - B25002_002E
199,Var_vacancy_Change_3,Vacant,Change between periods (number),na,B25002,B25002_003E - B25002_003E
200,Var_vacancy_ChangePer_1,Total Housing Units,Change between periods (percent),na,B25002,Var_vacancy_Change_1/Var_2012_vacancy_1
201,Var_vacancy_ChangePer_2,Occupied,Change between periods (percent),na,B25002,Var_vacancy_Change_2/Var_2012_vacancy_2
202,Var_vacancy_ChangePer_3,Vacant,Change between periods (percent),na,B25002,Var_vacancy_Change_3/Var_2012_vacancy_3
203,Var_2012_tenure_1,Total Occupied Housing Units,Total Occupied Housing Units,2012,B25003,B25003_001E
204,Var_2012_tenure_2,Owner-Occupied,Total Occupied Housing Units,2012,B25003,B25003_002E
205,Var_2012_tenure_3,Renter-Occupied,Total Occupied Housing Units,2012,B25003,B25003_003E
206,Var_2012_tenure_Per_2,Owner-Occupied,Percent of Total Occupied Housing Units,2012,B25003,Var_2012_tenure_2/Var_2012_tenure_1
207,Var_2012_tenure_Per_3,Renter-Occupied,Percent of Total Occupied Housing Units,2012,B25003,Var_2012_tenure_3/Var_2012_tenure_1
208,Var_2022_tenure_1,Total Occupied Housing Units,Total Occupied Housing Units,2022,B25003,B25003_001E
209,Var_2022_tenure_2,Owner-Occupied,Total Occupied Housing Units,2022,B25003,B25003_002E
210,Var_2022_tenure_3,Renter-Occupied,Total Occupied Housing Units,2022,B25003,B25003_003E
211,Var_2022_tenure_Per_2,Owner-Occupied,Percent of Total Occupied Housing Units,2022,B25003,Var_2022_tenure_2/Var_2022_tenure_1
212,Var_2022_tenure_Per_3,Renter-Occupied,Percent of Total Occupied Housing Units,2022,B25003,Var_2022_tenure_3/Var_2022_tenure_1
